Name,Price,Week,Month,Year,Season
Carrot_UPCVEG_1kg,210.86,1,10,2018,Second Inter-monsoon Season
Green_Chillies_LCVEG_1kg,240.28,2,10,2018,Second Inter-monsoon Season
Leeks_UPCVEG_1kg,143.08,2,10,2018,Second Inter-monsoon Season
BeetRoot_UPCVEG_1kg,141.71,2,10,2018,Second Inter-monsoon Season
Carrot_UPCVEG_1kg,199.75,2,10,2018,Second Inter-monsoon Season
Green_Chillies_LCVEG_1kg,267.06,3,10,2018,Second Inter-monsoon Season
Leeks_UPCVEG_1kg,160.0,3,10,2018,Second Inter-monsoon Season
BeetRoot_UPCVEG_1kg,149.19,3,10,2018,Second Inter-monsoon Season
Carrot_UPCVEG_1kg,225.64,3,10,2018,Second Inter-monsoon Season
Green_Chillies_LCVEG_1kg,357.81,4,10,2018,Second Inter-monsoon Season
Leeks_UPCVEG_1kg,162.79,4,10,2018,Second Inter-monsoon Season
BeetRoot_UPCVEG_1kg,169.68,4,10,2018,Second Inter-monsoon Season
